Timestamp	id #	OutputFilename	AttenuationR	BBNlowerFreqR	BBNupperFreqR	AmplitudeR	TimeShiftR	RampUpR	HoldTimeR	RampDownR	OutputTimestampR	OutputTimeWithDelayR	FixedDelayR	PA5idR	WavFilenameR	ToneFreqR	PhaseDegR	AttenuationL	BBNlowerFreqL	BBNupperFreqL	AmplitudeL	TimeShiftL	RampUpL	HoldTimeL	RampDownL	OutputTimestampL	OutputTimeWithDelayL	FixedDelayL	PA5idL	WavFilenameL	ToneFreqL	PhaseDegL	timestamp(1)	cluster #(1)	timestamp(2)	cluster #(2)	timestamp(3)	cluster #(3)	timestamp(4)	cluster #(4)
																																	0:00:07.534	0	0:00:06.550	0	0:00:08.923	0	0:00:09.488	0
																																	0:00:07.644	0	0:00:06.563	0	0:00:09.009	0	0:00:09.566	0
																																	0:00:07.644	0	0:00:06.593	0	0:00:09.039	0	0:00:09.593	0
																																	0:00:07.683	0	0:00:06.600	0	0:00:09.058	0	0:00:09.596	0
																																	0:00:07.709	0	0:00:06.657	0	0:00:09.068	0	0:00:09.613	0
																																	0:00:07.732	0	0:00:06.689	0	0:00:09.112	0	0:00:09.624	0
																																	0:00:07.832	0	0:00:06.690	0	0:00:09.238	0	0:00:09.627	0
																																	0:00:07.908	0	0:00:06.702	0	0:00:09.241	0	0:00:09.691	0
																																	0:00:08.008	0	0:00:06.748	0	0:00:09.255	0	0:00:09.710	0
																																	0:00:08.218	0	0:00:06.779	0	0:00:09.267	0	0:00:09.894	0
																																	0:00:08.299	0	0:00:06.796	0	0:00:09.274	0	0:00:09.935	0
																																	0:00:08.383	0	0:00:06.969	0	0:00:09.278	0	0:00:09.958	0
																																	0:00:08.419	0	0:00:06.974	0	0:00:09.291	0	0:00:10.079	0
																																	0:00:08.448	0	0:00:06.980	0	0:00:09.328	0	0:00:10.128	0
																																	0:00:08.539	0	0:00:06.996	0	0:00:09.330	0	0:00:10.231	0
																																	0:00:08.739	0	0:00:07.034	0	0:00:09.357	0	0:00:10.253	0
																																	0:00:08.839	0	0:00:07.117	0	0:00:09.361	0	0:00:10.376	0
																																	0:00:08.857	0	0:00:07.164	0	0:00:09.367	0	0:00:10.470	0
