Timestamp	id #	OutputFilename	AttenuationR	BBNlowerFreqR	BBNupperFreqR	AmplitudeR	TimeShiftR	RampUpR	HoldTimeR	RampDownR	OutputTimestampR	OutputTimeWithDelayR	FixedDelayR	PA5idR	WavFilenameR	ToneFreqR	PhaseDegR	AttenuationL	BBNlowerFreqL	BBNupperFreqL	AmplitudeL	TimeShiftL	RampUpL	HoldTimeL	RampDownL	OutputTimestampL	OutputTimeWithDelayL	FixedDelayL	PA5idL	WavFilenameL	ToneFreqL	PhaseDegL	timestamp1	cluster1
92428323	4000		0	0	0	1000	0	0	0	0	92428323	92428323	0	1	C:\DataWave\Sounds\bat_HRstrings\neutral15.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34596884.07	1
94422293	4000		0	0	0	1000	0	0	0	0	94422293	94422293	0	1	C:\DataWave\Sounds\bat_HRstrings\low3.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34599680.32	1
96413695	4000		0	0	0	1000	0	0	0	0	96413695	96413695	0	1	C:\DataWave\Sounds\bat_HRstrings\low3.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34601534.07	1
98414107	4000		0	0	0	1000	0	0	0	0	98414107	98414107	0	1	C:\DataWave\Sounds\bat_HRstrings\low3.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34606719.07	1
100414182	4000		0	0	0	1000	0	0	0	0	100414182	100414182	0	1	C:\DataWave\Sounds\bat_HRstrings\low3.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34608434.07	1
102414242	4000		0	0	0	1000	0	0	0	0	102414242	102414242	0	1	C:\DataWave\Sounds\bat_HRstrings\low3.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34613734.07	1
104414319	4000		0	0	0	1000	0	0	0	0	104414319	104414319	0	1	C:\DataWave\Sounds\bat_HRstrings\low3.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34615394.07	1
106413439	4000		0	0	0	1000	0	0	0	0	106413439	106413439	0	1	C:\DataWave\Sounds\bat_HRstrings\low3.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34621081.57	1
108413378	4000		0	0	0	1000	0	0	0	0	108413378	108413378	0	1	C:\DataWave\Sounds\bat_HRstrings\low3.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34623064.07	1
110413643	4000		0	0	0	1000	0	0	0	0	110413643	110413643	0	1	C:\DataWave\Sounds\bat_HRstrings\low3.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34623889.07	1
112413853	4000		0	0	0	1000	0	0	0	0	112413853	112413853	0	1	C:\DataWave\Sounds\bat_HRstrings\low3.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34625905.32	1
114413967	4000		0	0	0	1000	0	0	0	0	114413967	114413967	0	1	C:\DataWave\Sounds\bat_HRstrings\low3.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34628209.07	1
116414041	4000		0	0	0	1000	0	0	0	0	116414041	116414041	0	1	C:\DataWave\Sounds\bat_HRstrings\low3.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34628409.07	1
118413993	4000		0	0	0	1000	0	0	0	0	118413993	118413993	0	1	C:\DataWave\Sounds\bat_HRstrings\low3.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34635709.07	1
120413812	4000		0	0	0	1000	0	0	0	0	120413812	120413812	0	1	C:\DataWave\Sounds\bat_HRstrings\low3.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34637939.07	1
122414001	4000		0	0	0	1000	0	0	0	0	122414001	122414001	0	1	C:\DataWave\Sounds\bat_HRstrings\low3.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34641884.07	1
124413995	4000		0	0	0	1000	0	0	0	0	124413995	124413995	0	1	C:\DataWave\Sounds\bat_HRstrings\low3.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34644264.07	1
126414239	4000		0	0	0	1000	0	0	0	0	126414239	126414239	0	1	C:\DataWave\Sounds\bat_HRstrings\low3.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34654759.07	1
128413289	4000		0	0	0	1000	0	0	0	0	128413289	128413289	0	1	C:\DataWave\Sounds\bat_HRstrings\low3.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34656914.07	1
130413375	4000		0	0	0	1000	0	0	0	0	130413375	130413375	0	1	C:\DataWave\Sounds\bat_HRstrings\low3.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34665794.07	1
132413754	4000		0	0	0	1000	0	0	0	0	132413754	132413754	0	1	C:\DataWave\Sounds\bat_HRstrings\low3.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34675884.07	1
134413735	4000		0	0	0	1000	0	0	0	0	134413735	134413735	0	1	C:\DataWave\Sounds\bat_HRstrings\low3.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34682314.51	1
136413765	4000		0	0	0	1000	0	0	0	0	136413765	136413765	0	1	C:\DataWave\Sounds\bat_HRstrings\low3.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34684350.76	1
138413714	4000		0	0	0	1000	0	0	0	0	138413714	138413714	0	1	C:\DataWave\Sounds\bat_HRstrings\low3.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34780025.76	0
140413868	4000		0	0	0	1000	0	0	0	0	140413868	140413868	0	1	C:\DataWave\Sounds\bat_HRstrings\low3.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34790209.51	1
142413898	4000		0	0	0	1000	0	0	0	0	142413898	142413898	0	1	C:\DataWave\Sounds\bat_HRstrings\low3.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34793300.76	1
144414242	4000		0	0	0	1000	0	0	0	0	144414242	144414242	0	1	C:\DataWave\Sounds\bat_HRstrings\low3.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34803650.76	1
146414202	4000		0	0	0	1000	0	0	0	0	146414202	146414202	0	1	C:\DataWave\Sounds\bat_HRstrings\low3.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34806952.01	1
148414294	4000		0	0	0	1000	0	0	0	0	148414294	148414294	0	1	C:\DataWave\Sounds\bat_HRstrings\low3.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34812404.51	1
150414441	4000		0	0	0	1000	0	0	0	0	150414441	150414441	0	1	C:\DataWave\Sounds\bat_HRstrings\low3.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	34835014.51	1
