Timestamp	id	OutputFilename	AttenuationR	BBNlowerFreqR	BBNupperFreqR	AmplitudeR	TimeShiftR	RampUpR	HoldTimeR	RampDownR	OutputTimestampR	OutputTimeWithDelayR	FixedDelayR	PA5idR	WavFilenameR	ToneFreqR	PhaseDegR	AttenuationL	BBNlowerFreqL	BBNupperFreqL	AmplitudeL	TimeShiftL	RampUpL	HoldTimeL	RampDownL	OutputTimestampL	OutputTimeWithDelayL	FixedDelayL	PA5idL	WavFilenameL	ToneFreqL	PhaseDegL	timestamp1	cluster1
61886428	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	61886428	61886428	0	1	C:\DataWave\Sounds\bat_restrained\neutral25.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	5471563.37	1
62886577	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	62886577	62886577	0	1	C:\DataWave\Sounds\bat_restrained\neutral25.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	5614088.37	1
63885869	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	63885869	63885869	0	1	C:\DataWave\Sounds\bat_restrained\neutral25.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	5698407.66	1
64886728	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	64886728	64886728	0	1	C:\DataWave\Sounds\bat_restrained\neutral25.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	5863707.66	1
65886365	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	65886365	65886365	0	1	C:\DataWave\Sounds\bat_restrained\neutral25.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	5902532.66	1
66886638	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	66886638	66886638	0	1	C:\DataWave\Sounds\bat_restrained\neutral25.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	5993776.949	1
67886772	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	67886772	67886772	0	1	C:\DataWave\Sounds\bat_restrained\neutral25.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	6172351.949	1
68886324	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	68886324	68886324	0	1	C:\DataWave\Sounds\bat_restrained\neutral25.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	6267571.239	1
69886322	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	69886322	69886322	0	1	C:\DataWave\Sounds\bat_restrained\neutral25.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	6385546.239	1
70886788	4000	D:\Data\826\12-04-12\12-04-2012--2786_string block.ddf	0	0	0	5000	0	0	0	0	70886788	70886788	0	1	C:\DataWave\Sounds\bat_restrained\neutral25.wav	0	0	0	0	0	0	0	0	0	0	0	0	0	0	m	0	0	6460965.528	1
